"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"COPE",325.300333757087,0.615195960320661,0.0876405461769243,3.93781456738453e-13,2.94677044090679e-11
"RANBP3",295.665819320345,0.413767330028805,0.0578680336866371,4.08142730137771e-13,3.04151363688085e-11
"ADD3",379.037346241679,-0.581017518540183,0.0825176530299708,4.11964268666834e-13,3.04462022525055e-11
"ANKRD12",528.544024831684,-0.545319556869996,0.0771501406016046,4.11129029790957e-13,3.04462022525055e-11
"CSE1L",104.459786580292,-0.56788164682815,0.0805751781149487,4.22221491989458e-13,3.10758493178249e-11
"CAPZA1",579.739349435815,-0.74863016575525,0.108896946575645,4.26066229492096e-13,3.12303053871563e-11
"MXD4",437.624469622274,0.599780700342913,0.0854669161776384,4.37273497804129e-13,3.19209653397014e-11
"GNPDA2",31.2318245991861,-0.822546598257132,0.121526568145344,4.53335547001725e-13,3.29589685289669e-11
"FXR1",224.512213058737,-0.530892718585681,0.075185563376686,4.6591685043047e-13,3.373652983785e-11
"MYL12B",202.010133177265,-0.669998770523609,0.0965485756055522,4.87446147643197e-13,3.51531223814459e-11
"HDAC10",153.201076971402,0.68435912173533,0.0988534826750434,4.95452334081257e-13,3.5587008012222e-11
"TRAM1",273.289989638891,-0.489065439787567,0.0691099085174499,5.08856182978197e-13,3.64035713302602e-11
"SPSB3",200.930996761757,0.617304644198296,0.0884660162627742,5.22444260053293e-13,3.72267553428412e-11
"C11orf68",137.561003384523,0.579774702888386,0.082741431200823,5.28835344024133e-13,3.75326195550461e-11
"EXOC5",120.793288487998,-0.534169659519313,0.0759223308814004,5.49555890404905e-13,3.88490399205207e-11
"FOXK1",520.182252802516,0.555644420008692,0.079232827377313,5.79090379007948e-13,4.0775714285658e-11
"FZR1",147.050067219962,0.815692594828138,0.121010211312234,5.84698302673365e-13,4.10091338953457e-11
"PITPNM1",459.658397370406,0.605776994192985,0.0870907948931867,6.54877199266211e-13,4.57518699565476e-11
"XRCC3",133.669356615371,0.67640121499518,0.0981997066169757,6.68440458146726e-13,4.65177338286155e-11
"MAN2B1",665.39634864155,0.562609334380187,0.080555110053046,6.83869681027704e-13,4.74070125782189e-11
"XPO1",207.067755219668,-0.608934316475784,0.0876955952908353,6.99207920534989e-13,4.82831415396459e-11
"ARMT1",35.8387297864326,-0.727310466182898,0.10653997748252,7.03073340606493e-13,4.83633334490274e-11
"ARID1A",1258.12909183185,0.482841866478087,0.0687452467048377,7.65217241473858e-13,5.24364381753255e-11
"MATR3",457.997411992633,-0.537265678150915,0.0769470580056364,7.91622049693381e-13,5.40387799952905e-11
"ATP13A2",155.050952399921,0.694591857999304,0.101523525164169,8.10274700540436e-13,5.4893041739264e-11
"TIA1",198.074835939829,-0.600947527460169,0.0867181292190996,8.08065682731167e-13,5.4893041739264e-11
"TMEM175",138.089359024359,0.514610173961603,0.0736793582386157,8.72355742301069e-13,5.88757828341684e-11
"TNFRSF14",563.033892775129,0.528454266681316,0.0757800010479287,8.80579367311497e-13,5.92073758810756e-11
"MCTS1",144.241410314433,-0.484716032657207,0.0692546523995115,9.04303927391922e-13,6.05748155108784e-11
"ARID5A",289.553724282002,0.541787791365386,0.077908191926385,9.43686296956832e-13,6.29769754517647e-11
"VPS28",314.009791122038,0.589650514617985,0.0852885872802555,9.67588834292843e-13,6.43320680346747e-11
"PIAS4",121.899364949705,0.601279211913623,0.0871723379332016,1.01150518014743e-12,6.70028523960623e-11
"USF2",431.756609611517,0.490462361059864,0.0702893519181148,1.02487048447158e-12,6.76376701652183e-11
"ARHGEF1",1218.11442697845,0.50154702624407,0.072026133585392,1.07787474947757e-12,7.08742275529646e-11
"PKN1",509.278871719211,0.680864517202984,0.0999469922578734,1.09467488797212e-12,7.17152394556092e-11
"SREBF1",185.841503780204,0.687247968152657,0.101072996978724,1.14199725631535e-12,7.45424121503648e-11
"DHX36",199.563769728673,-0.470401718047319,0.0674585158670032,1.1577175666523e-12,7.52937406530049e-11
"MAFK",163.943692575945,0.712382842362632,0.105398657270897,1.25321159341213e-12,8.1209019377449e-11
"GAPT",111.453950046198,-0.76883879483698,0.115042451234654,1.32462053346328e-12,8.55264918447319e-11
"PIK3CA",173.969789858377,-0.505646916536955,0.0730262759052199,1.39461464155045e-12,8.97218808062222e-11
"BRAT1",249.701829197373,0.609977301718201,0.0891854888736957,1.44015561925445e-12,9.20830168952112e-11
"SLC30A9",108.650165906192,-0.461328441442013,0.0663996622949898,1.44161278896613e-12,9.20830168952112e-11
"MFSD10",151.85742700065,0.700621224949223,0.103804605107655,1.45988912603404e-12,9.29185659043376e-11
"OGFR",603.744174988774,0.675835015664533,0.0998457343071264,1.5279758048176e-12,9.69072598197263e-11
"LSP1",966.793914692599,0.69142645166292,0.102479158354249,1.5872816024279e-12,1.00312832012096e-10
"TSC22D4",783.237800084763,0.585087354339176,0.0854727703917877,1.59980977742329e-12,1.00748584046534e-10
"NAP1L1",437.488848405718,-0.573495843508474,0.0837167800068973,1.64800913550944e-12,1.03419801363461e-10
"RNPEPL1",844.162566635846,0.622524954537475,0.0914504390231049,1.66638662027476e-12,1.04207429033616e-10
"KTN1",256.812592455104,-0.430738135497542,0.0620575368045139,1.71466049065562e-12,1.06852623259149e-10
"DMXL1",120.850666234924,-1.11986732631525,0.216900751636912,1.75335779608831e-12,1.08884736746665e-10
"TRIP11",155.650473506641,-0.46055025466131,0.0665931432867947,1.81110219968302e-12,1.12081532322944e-10
"TTLL12",109.015260291589,0.64639758331707,0.0954584738169607,1.82995455590077e-12,1.12857714594087e-10
"RREB1",542.570888494654,0.352895780457423,0.0506299124342331,1.83732133475008e-12,1.12922653168403e-10
"LENG8",1445.3393343728,0.52058840802696,0.0757446021897424,1.85848383923112e-12,1.13832135152906e-10
"GNG2",256.081703527937,-0.620905310176189,0.0914489472407168,1.90020499066004e-12,1.15990328525443e-10
"AMBRA1",268.707279428057,0.393461655301043,0.0566625217695389,1.93022256431012e-12,1.17421872662199e-10
"PSTPIP1",659.276136877856,0.547844096130407,0.0800761324506973,2.01376079258903e-12,1.22088514493067e-10
"NDOR1",80.8308552757714,0.708431445558076,0.105875360182549,2.04404308039947e-12,1.2350577869238e-10
"THOC2",180.331483175903,-0.494437344391856,0.0719035693107519,2.05556986776821e-12,1.23784064259375e-10
"NPEPL1",233.388083300738,0.544459161899689,0.0798418044267456,2.39317580219948e-12,1.43630702088382e-10
"ATP11B",489.140256640671,-0.517041207284468,0.0756152544889091,2.41631056978833e-12,1.44534162343359e-10
"CYBA",1382.87846064002,0.581603073102929,0.0857180247543903,2.47540801468604e-12,1.47575574475533e-10
"PTPN6",1736.81170961631,0.519194582095116,0.076030232087108,2.54521659530702e-12,1.5121706727851e-10
"RNH1",353.356272652797,0.661091511886006,0.0985481184694606,2.55339973822253e-12,1.5121706727851e-10
"FBXO11",139.022595201774,-0.636725430978557,0.0946250304832354,2.60648835355651e-12,1.53851631034185e-10
"PDLIM2",513.822090549034,0.53267751543672,0.0781930199170958,2.66694494109058e-12,1.56387902529197e-10
"VAT1",116.139993112956,0.557346129990146,0.0820355934022901,2.66225244527058e-12,1.56387902529197e-10
"CTSD",1271.67209555709,0.692702113427796,0.103883717444456,2.68405573681602e-12,1.56876917820113e-10
"TBC1D17",214.782059408402,0.554567140815868,0.0816386177937891,2.72097873825627e-12,1.58516953530011e-10
"TMEM161B",106.936384021179,-0.512805097976869,0.0752010056916289,2.8080532904918e-12,1.63058549027422e-10
